UserID,UserName,Age,Gender,Location,LastLogin,PurchaseAmount,PurchaseCategory,ReviewScore,LoginFrequency,PurchaseAmount-z,ReviewScore-z
1,User_1,62,Female,Location_1,2023-06-10,118.0,Clothing,3,Monthly,-1.3641669172479816,0.01960750056756699
2,User_2,65,Female,Location_2,2023-08-14,466.0,Electronics,4,Weekly,-0.15734158644754734,0.7198753779806731
3,User_3,18,Male,Location_3,2023-02-17,869.0,Home & Garden,3,Weekly,1.2402176328414614,0.01960750056756699
4,User_4,21,Female,Location_4,2023-03-14,486.0,Books,2,Weekly,-0.08798380881533849,-0.6806603768455392
5,User_5,21,Male,Location_5,2023-07-26,753.0,Home & Garden,1,Monthly,0.8379425225746499,-1.3809282542586454
6,User_6,57,Female,Location_6,2023-02-20,629.0,Books,2,Monthly,0.4079243012549549,-0.6806603768455392
7,User_7,27,Female,Location_7,2023-01-27,113.0,Home & Garden,1,Weekly,-1.3815063616560337,-1.3809282542586454
8,User_8,37,Female,Location_8,2023-03-11,109.0,Home & Garden,1,Daily,-1.3953779171824756,-1.3809282542586454
9,User_9,39,Female,Location_9,2023-01-06,424.0,Food,2,Weekly,-0.302992919475186,-0.6806603768455392
10,User_10,68,Female,Location_10,2023-10-04,766.0,Home & Garden,2,Monthly,0.8830250780355856,-0.6806603768455392
11,User_11,54,Male,Location_11,2023-03-22,947.0,Books,4,Daily,1.510712965607076,0.7198753779806731
12,User_12,41,Male,Location_12,2023-03-23,768.0,Food,2,Daily,0.8899608557988065,-0.6806603768455392
13,User_13,24,Female,Location_13,2023-11-10,403.0,Home & Garden,5,Daily,-0.37581858598900525,1.4201432553937792
14,User_14,42,Female,Location_14,2023-03-09,896.0,Food,3,Weekly,1.3338506326449433,0.01960750056756699
15,User_15,42,Male,Location_15,2023-08-16,830.0,Home & Garden,4,Daily,1.1049699664586539,0.7198753779806731
16,User_16,30,Male,Location_16,2023-06-03,309.0,Clothing,1,Daily,-0.7018001408603869,-1.3809282542586454
17,User_17,19,Female,Location_17,2023-04-03,859.0,Food,5,Monthly,1.2055387440253569,1.4201432553937792
18,User_18,56,Female,Location_18,2023-08-26,956.0,Books,2,Weekly,1.5419239655415697,-0.6806603768455392
19,User_19,57,Female,Location_19,2023-07-18,410.0,Clothing,2,Daily,-0.35154336381773216,-0.6806603768455392
20,User_20,41,Female,Location_20,2023-11-24,74.0,Home & Garden,5,Daily,-1.5167540280388412,1.4201432553937792
21,User_21,64,Male,Location_21,2023-06-22,804.0,Home & Garden,3,Monthly,1.0148048555367823,0.01960750056756699
22,User_22,42,Male,Location_22,2023-11-14,145.0,Clothing,5,Monthly,-1.2705339174444996,1.4201432553937792
23,User_23,35,Male,Location_23,2023-06-01,448.0,Electronics,1,Daily,-0.21976358631653534,-1.3809282542586454
24,User_24,55,Male,Location_24,2023-11-17,860.0,Clothing,5,Daily,1.2090066329069673,1.4201432553937792
25,User_25,43,Male,Location_25,2023-09-01,964.0,Books,4,Daily,1.5696670765944534,0.7198753779806731
26,User_26,31,Male,Location_26,2023-07-08,341.0,Home & Garden,5,Daily,-0.5908276966488527,1.4201432553937792
27,User_27,26,Female,Location_27,2023-12-10,323.0,Food,5,Weekly,-0.6532496965178407,1.4201432553937792
28,User_28,27,Female,Location_28,2023-05-15,708.0,Electronics,1,Daily,0.6818875229021799,-1.3809282542586454
29,User_29,38,Male,Location_29,2023-01-18,982.0,Food,1,Weekly,1.6320890764634413,-1.3809282542586454
30,User_30,69,Male,Location_30,2023-02-14,279.0,Clothing,3,Weekly,-0.8058368073087002,0.01960750056756699
31,User_31,34,Male,Location_31,2023-01-25,978.0,Home & Garden,1,Daily,1.6182175209369996,-1.3809282542586454
32,User_32,69,Male,Location_32,2023-02-13,242.0,Books,1,Daily,-0.9341486959282866,-1.3809282542586454
33,User_33,23,Female,Location_33,2023-11-30,796.0,Clothing,1,Monthly,0.9870617444838989,-1.3809282542586454
34,User_34,33,Female,Location_34,2023-02-09,155.0,Clothing,5,Weekly,-1.2358550286283951,1.4201432553937792
35,User_35,65,Male,Location_35,2023-09-21,180.0,Food,5,Weekly,-1.149157806588134,1.4201432553937792
36,User_36,18,Male,Location_36,2023-08-03,310.0,Food,1,Daily,-0.6983322519787765,-1.3809282542586454
37,User_37,36,Female,Location_37,2023-09-01,236.0,Home & Garden,2,Daily,-0.9549560292179493,-0.6806603768455392
38,User_38,53,Male,Location_38,2023-10-11,725.0,Food,1,Daily,0.7408416338895575,-1.3809282542586454
39,User_39,42,Female,Location_39,2023-09-21,865.0,Electronics,1,Daily,1.2263460773150194,-1.3809282542586454
40,User_40,67,Female,Location_40,2023-10-04,848.0,Home & Garden,3,Monthly,1.167391966327642,0.01960750056756699
41,User_41,69,Male,Location_41,2023-05-08,216.0,Books,1,Daily,-1.024313806850158,-1.3809282542586454
42,User_42,47,Male,Location_42,2023-10-14,568.0,Electronics,1,Monthly,0.19638307947671785,-1.3809282542586454
43,User_43,37,Female,Location_43,2023-09-10,576.0,Clothing,3,Daily,0.2241261905296014,0.01960750056756699
44,User_44,37,Female,Location_44,2023-07-30,700.0,Food,1,Daily,0.6541444118492964,-1.3809282542586454
45,User_45,32,Male,Location_45,2023-01-25,53.0,Books,1,Weekly,-1.5895796945526603,-1.3809282542586454
46,User_46,57,Female,Location_46,2023-12-31,587.0,Home & Garden,4,Daily,0.26227296822731627,0.7198753779806731
47,User_47,50,Male,Location_47,2023-04-11,984.0,Food,3,Weekly,1.639024854226662,0.01960750056756699
48,User_48,19,Male,Location_48,2023-09-08,367.0,Electronics,3,Weekly,-0.5006625857269812,0.01960750056756699
